X coordinate,Y coordinate,stepratio,photoncount,label
116,93,1.120401,100.29055,1
,,0.258955,221.39805,0
,,1.445483,1006.015735,1
,,1.811454,1607.363831,1
106,98,0.542242,243.848391,0
,,1.837335,1593.998694,1
,,2.41157,1253.531849,1
134,82,0.504686,304.173487,0
,,2.288469,3433.053328,1
,,2.251197,7560.561707,1
94,96,2.007485,1302.90101,1
,,0.799716,204.14485,0
200,80,0.199381,210.121893,0
,,1.847628,859.384652,1
,,1.526161,1776.858172,1
,,1.342799,2340.164582,1
87,79,1.480629,313.114256,1
,,0.82737,850.176669,0
,,1.787983,5528.649281,1
,,1.713115,2626.878913,1
101,70,0.563855,428.606383,0
,,1.854827,1178.022113,1
50,128,0.488341,325.813052,0
,,1.863602,1058.253735,1
,,2.084424,4620.016975,1
54,94,0.622413,100.799485,0
,,1.780954,1854.020695,1
,,1.223007,661.547706,1
,,2.136816,1822.126046,1
76,76,2.397165,4301.366143,1
,,0.746493,4809.966907,0
,,1.3918,990.95134,1
143,74,0.706819,487.580204,0
,,1.775304,2521.84942,1
,,1.853331,7402.683085,1
81,50,0.326827,285.186421,0
,,1.58059,2190.38603,1
,,1.805211,2099.207195,1
92,26,1.859396,755.397918,1
100,42,0.581921,659.423411,0
,,1.495747,3168.562956,1
,,1.615024,16515.66348,1
94,39,1.435093,4237.538254,1
122,56,0.048084,396.111769,0
,,1.374723,1520.843887,1
,,1.482883,3117.798819,1
,,0.479326,2237.628243,0
148,41,0.339337,213.512321,0
,,0.589957,681.342058,0
,,2.117296,4523.472553,1
,,1.980585,10532.8212,1
114,66,2.211224,3203.730749,1
151,34,1.570369,4354.803511,1
,,1.792894,913.443178,1
148,15,0.636788,510.205589,0
,,2.404659,968.546795,1
,,2.086918,3383.062987,1
158,32,1.115693,109.837718,1
,,0.498828,288.146114,0
,,1.841352,4440.382827,1
,,2.263579,4873.212695,1
174,75,2.436134,354.749648,1
,,1.664524,1971.939715,1
134,62,0.622785,201.224842,0
,,1.373843,742.814836,1
194,57,0.393049,289.106196,0
,,0.795791,851.762181,0
,,0.53484,994.469435,0
,,1.02838,9288.996349,1
122,39,2.17536,306.224974,1
,,2.527677,375.380917,1
,,2.73189,2102.658756,1
173,24,1.377843,5501.568777,1
182,42,0.659694,976.495959,0
,,1.934509,12722.21608,1
184,21,0.882595,1117.171162,0
196,40,0.422262,325.297269,0
,,1.958629,3584.537132,1
,,1.887262,6086.928901,1
56,32,0.424839,123.735825,0
,,1.489065,1422.973442,1
,,1.825603,818.494089,1
119,35,2.080599,3211.888412,1
,,1.738055,9208.911881,1
48,26,0.137848,328.690761,0
,,1.433373,1165.301495,1
42,146,1.873468,3864.341115,1
6,176,1.494265,1214.127686,1
,,1.926577,7308.321418,1
15,43,0.090491,59.715206,0
,,1.740331,1352.687885,1
3,102,2.009135,2732.343245,1
,,1.9876,4157.200085,1
41,36,0.886729,762.289149,0
,,1.942379,2831.832842,1
,,0.999131,2555.148695,0
24,82,0.479243,951.517773,0
,,2.171347,3956.672845,1
31,250,0.848664,199.134526,0
,,1.990866,4017.378047,1
,,2.01621,9763.036872,1
25,199,3.488367,119.962567,1
,,1.648075,663.843535,1
12,185,2.114763,135.221106,1
,,1.013776,868.883073,1
,,2.049294,443.379782,1
32,191,1.070527,132.051788,1
,,2.085804,1439.689987,1
,,1.153837,208.299069,1
40,170,1.046015,457.34533,1
,,1.157186,1595.276104,1
28,166,2.282903,3314.88519,1
18,156,0.302931,410.596434,0
,,1.747186,1450.972553,1
,,1.899552,1989.262016,1
12,156,1.115322,332.859151,1
,,1.853227,5535.52734,1
,,0.998792,-898.111097,0
34,142,1.055692,1955.131326,1
,,1.805928,162.762489,1
197,34,1.759475,3209.828714,1
190,113,1.669824,2084.6836,1
248,189,0.143816,478.750046,0
,,1.21116,3980.72754,1
250,52,0.815779,93.252407,0
,,1.458355,606.501594,1
,,1.860238,1339.517526,1
44,132,1.880686,647.491128,1
,,0.966704,594.114347,0
148,138,0.605772,21523.62487,0
,,1.797121,130049.8858,1
,,1.523944,292884.3563,1
219,250,0.326578,60295.23915,0
,,0.36723,59697.40772,0
,,1.456144,943195.9463,1
,,1.458505,859149.477,1
242,238,0.309171,5699.238265,0
,,0.522051,26963.61814,0
,,1.030593,66542.47495,1
235,246,1.170421,12271.66432,1
,,0.794716,27719.28287,0
,,1.643874,201068.9919,1
222,228,0.657359,12784.99046,0
,,0.42949,39676.81855,0
,,1.556272,726823.7816,1
235,203,0.834538,12234.30767,0
,,0.916084,20815.04774,0
,,1.551001,70924.03081,1
,,1.607545,191966.1226,1
207,250,0.611243,17693.23674,0
,,1.520666,69887.84677,1
,,1.565452,251104.688,1
196,252,0.822627,19366.65818,0
,,0.747275,72144.37206,0
,,1.580949,578134.579,1
,,1.502657,477021.9469,1
202,236,0.974712,12614.97254,0
,,1.736838,46093.67279,1
,,0.895838,78679.02394,0
188,239,0.592106,10297.09281,0
,,1.821557,75302.17027,1
,,1.783527,151213.7342,1
