X coordinate,Y coordinate,stepratio,photoncount,label
,,2.757465,325774.2583,1
,,1.838084,665833.0196,1
131,92,0.277802,20851.49299,0
,,0.458475,44710.61471,0
,,2.011804,421453.0375,1
,,1.965089,264628.9675,1
221,146,1.428648,102132.9105,1
,,1.735665,517196.8854,1
154,80,1.318968,69600.9806,1
,,1.948745,72078.55901,1
,,1.302254,240805.2052,1
191,94,0.660163,30145.06074,0
,,1.809721,254643.8168,1
,,1.703712,489667.3927,1
214,132,0.88772,55476.86661,0
,,2.134113,205825.6898,1
212,164,1.022563,9354.87462,1
,,0.492342,72353.72002,0
,,1.653077,209688.3752,1
232,88,0.484403,18354.34244,0
,,1.267803,94752.1188,1
,,2.100758,24862.53803,1
,,1.945568,597605.2047,1
229,76,0.868498,14116.03936,0
,,0.333845,21263.40819,0
,,0.892407,45430.60077,0
,,1.74162,247353.2827,1
234,68,0.452577,14547.77052,0
,,0.354218,51895.13721,0
,,1.684034,163000.9241,1
,,1.500438,1140995.622,1
235,63,0.7339,121929.6889,0
,,1.865824,403006.1623,1
202,11,1.981441,192752.777,1
220,19,0.023108,29695.93807,0
,,1.953946,128329.5775,1
,,1.845765,61549.85986,1
155,51,1.527955,127923.6871,1
,,1.69987,118667.2066,1
,,1.9772,145679.3541,1
,,1.415791,96409.1907,1
138,36,0.187049,18194.14602,0
,,1.819072,58465.7981,1
,,1.886318,449007.6733,1
128,28,0.345753,16950.60455,0
,,1.753037,239797.5672,1
,,1.961338,1486377.913,1
110,16,-0.75682,839.7072967,0
,,0.959099,81010.5923,0
,,1.735185,145264.3463,1
62,46,2.348185,245111.7509,1
,,2.232682,769504.9719,1
,,1.572761,202294.8939,1
48,46,0.278624,47307.17288,0
,,2.543174,207500.512,1
,,0.540343,7856.189856,0
58,18,0.772448,38962.30142,0
,,1.280556,118275.3473,1
,,1.643046,854520.0525,1
,,1.363978,112289.295,1
46,10,0.13733,6452.962333,0
,,1.667087,180031.6779,1
,,3.064076,275976.1212,1
,,0.645547,311846.6385,0
8,250,0.592191,32335.47051,0
,,1.269773,16733.52289,1
,,1.747006,320864.9892,1
31,215,2.111035,159292.0519,1
,,2.379104,306011.3879,1
10,220,0.358084,12258.66114,0
,,2.037992,59207.0109,1
,,2.891285,211078.6751,1
38,202,0.691624,15204.81192,0
,,1.225614,27036.25759,1
,,3.262297,43915.88976,1
42,136,0.369805,39965.89685,0
,,1.860859,636225.4766,1
,,1.782485,681699.5111,1
30,74,0.977034,56637.40961,0
,,1.943027,232806.4551,1
,,2.32756,105295.1513,1
244,99,0.344941,16128.84759,0
,,0.248358,43490.2272,0
,,1.707671,113416.0046,1
,,1.627984,458089.241,1
212,136,1.456736,23688.38947,1
,,3.328492,14457.15998,1
,,1.95985,233870.1063,1
,,2.053454,100434.9916,1
222,146,0.781172,13281.08182,0
,,0.377942,8891.624789,0
,,1.764778,22626.14872,1
,,2.336162,84984.29866,1
214,230,0.630026,32361.72324,0
,,1.503863,607096.8937,1
,,2.07051,391409.7027,1
234,246,1.552543,455596.4866,1
,,3.371581,253893.0508,1
190,190,1.519311,212833.0867,1
,,1.914345,378649.0575,1
,,0.278435,65289.91152,0
,,1.401049,145187.0318,1
163,124,1.603923,68894.2586,1
,,1.604902,431080.9033,1
,,1.892357,201910.6919,1
,,0.725305,195117.9677,0
246,234,0.75372,4593.587024,0
,,0.292413,63414.07555,0
,,0.593723,89381.77209,0
,,1.478185,116466.9285,1
160,167,1.699171,360238.1643,1
,,2.114155,80704.65066,1
90,45,1.975131,140226.874,1
,,2.33724,429790.6063,1
,,0.522484,6944.739669,0
91,244,2.732195,58699.89098,1
,,2.260281,121460.821,1
,,2.776207,346591.0533,1
108,207,0.573673,19313.03384,0
,,2.273284,20253.47696,1
,,1.876309,112154.1451,1
,,2.143699,669721.1593,1
140,228,0.510606,15186.31513,0
,,0.770592,172721.6822,0
90,222,2.484168,158116.2937,1
,,2.582748,299774.8939,1
142,204,1.86155,185365.9057,1
186,94,0.409924,31149.24707,0
,,1.985296,512125.6685,1
,,2.105006,449072.3204,1
76,223,1.82074,34723.78282,1
,,2.028372,78309.83352,1
,,1.820105,207209.4001,1
,,0.259477,81918.83203,0
124,124,0.511254,44644.58129,0
,,1.430562,121381.2948,1
,,2.77886,323612.0934,1
,,2.398033,563625.0511,1
114,106,2.186162,123164.2185,1
184,83,1.834474,73492.44702,1
,,1.878874,221883.4626,1
208,42,0.23513,18094.00865,0
,,1.67407,77849.74421,1
,,1.582305,350135.7421,1
,,1.347206,164047.1057,1
62,200,4.850892,41567.02863,1
,,0.970351,75121.31143,0
,,2.034582,186136.1071,1
49,204,2.193299,220774.5172,1
93,209,1.961235,15806.04867,1
,,1.794302,18633.43357,1
,,2.032018,57391.06749,1
112,138,2.420044,392456.3033,1
167,54,0.827877,30155.96776,0
,,0.899425,149777.5945,0
172,28,0.880311,18396.5576,0
,,0.095124,14379.23195,0
,,1.66321,85481.19924,1
140,18,0.442382,49210.79571,0
,,2.196025,527316.5541,1
,,1.191495,264053.8097,1
86,81,1.774655,145806.5924,1
92,19,0.226032,36513.35893,0
,,1.979248,159365.3359,1
,,2.185676,90404.01177,1
,,0.541179,54470.36563,0
45,170,2.574569,788424.5849,1
104,128,1.170645,13315.03897,1
,,1.573469,22953.32622,1
,,1.643312,187879.8954,1
76,26,0.844295,7052.052649,0
,,0.343753,16830.86978,0
,,2.202441,130671.3591,1
,,1.978933,105751.655,1
81,38,0.503136,7562.54657,0
,,2.332901,103787.2258,1
,,0.591408,64319.65495,0
,,0.909959,72479.64953,0
22,239,3.022768,222057.9386,1
,,2.525387,82453.6631,1
14,206,2.287073,415017.5385,1
32,176,3.266172,181726.4404,1
20,128,2.729787,327272.8445,1
,,2.045624,95373.00593,1
11,88,2.513705,252119.8796,1
